session_id,reason,hourly_adapter_kept,hourly_slack_h,real_slack_h,charge_h,dwell_h
2_39_131_30_2019-01-07 16:37:58.016519,valid,True,0.0,0.03305555555555555,4.535,4.5680555555555555
2_39_79_378_2019-01-07 16:42:45.356586,done_after_disconnect,False,,,,
2_39_79_383_2019-01-07 16:57:28.977434,valid,True,0.0,0.0025,10.097777777777777,10.100277777777778
2_39_90_440_2019-01-07 17:00:25.450944,valid,False,,0.024722222222222222,4.590277777777778,4.615
2_39_89_25_2019-01-07 17:15:16.680788,valid,True,5.0,5.7363888888888885,2.6058333333333334,8.342222222222222
2_39_92_436_2019-01-07 17:21:19.465064,valid,True,2.0,2.5705555555555555,5.6241666666666665,8.194722222222222
2_39_78_367_2019-01-07 17:47:45.387773,valid,True,0.0,0.26805555555555555,9.354166666666666,9.622222222222222
2_39_125_21_2019-01-07 18:10:23.686280,valid,True,4.0,4.51,1.7763888888888888,6.286388888888889
2_39_128_562_2019-01-07 18:19:58.889585,valid,True,3.0,3.8880555555555554,3.404166666666667,7.292222222222223
2_39_78_366_2019-01-07 18:28:27.913006,valid,True,4.0,4.736666666666666,2.640833333333333,7.3775
2_39_79_378_2019-01-07 18:55:41.347675,valid,True,0.0,0.0008333333333333334,8.772777777777778,8.77361111111111
2_39_78_361_2019-01-07 19:33:22.760713,valid,True,0.0,0.0011111111111111111,6.729722222222223,6.730833333333333
2_39_91_441_2019-01-07 19:52:52.102209,valid,True,1.0,1.5386111111111112,4.275833333333333,5.814444444444445
2_39_90_26_2019-01-07 20:03:18.208621,valid,True,3.0,3.618888888888889,2.4386111111111113,6.0575
2_39_79_376_2019-01-07 21:34:57.961055,valid,True,2.0,2.441388888888889,1.301388888888889,3.742777777777778
2_39_128_18_2019-01-07 21:46:28.850134,valid,True,2.0,1.478888888888889,0.9436111111111111,2.4225
2_39_131_30_2019-01-07 21:52:04.229188,valid,True,1.0,1.1166666666666667,4.164444444444444,5.2811111111111115
2_39_78_360_2019-01-07 22:26:48.771620,valid,False,,0.0025,3.0733333333333333,3.075833333333333
2_39_127_19_2019-01-07 23:31:27.973382,valid,True,0.0,0.001388888888888889,0.5383333333333333,0.5397222222222222
2_39_78_363_2019-01-07 23:35:24.653618,valid,True,0.0,0.0025,5.841666666666667,5.844166666666666
2_39_127_19_2019-01-08 00:39:58.033145,valid,False,,0.0011111111111111111,1.2794444444444444,1.2805555555555554
2_39_139_28_2019-01-08 01:23:26.254818,valid,False,,0.07472222222222222,1.1227777777777779,1.1975
2_39_129_17_2019-01-08 02:22:06.714228,valid,True,7.0,7.194166666666667,4.553888888888889,11.748055555555556
2_39_139_28_2019-01-08 02:47:53.787887,valid,True,1.0,0.9588888888888889,0.9897222222222222,1.948611111111111
2_39_127_19_2019-01-08 13:46:16.156198,valid,True,4.0,4.368888888888889,4.7375,9.106388888888889
2_39_78_365_2019-01-08 15:08:06.978462,valid,True,6.0,6.6675,3.391111111111111,10.05861111111111
2_39_79_379_2019-01-08 15:18:16.158120,valid,False,,0.0011111111111111111,14.535555555555556,14.536666666666667
2_39_79_377_2019-01-08 15:56:18.794401,valid,True,0.0,0.0011111111111111111,10.386666666666667,10.387777777777778
2_39_123_23_2019-01-08 15:58:42.988850,valid,True,6.0,5.894444444444445,1.4747222222222223,7.369166666666667
2_39_139_28_2019-01-08 16:02:12.121184,valid,False,,0.001388888888888889,9.467222222222222,9.46861111111111
2_39_131_30_2019-01-08 16:14:34.602997,valid,True,2.0,2.7280555555555557,4.1386111111111115,6.866666666666666
2_39_91_437_2019-01-08 16:21:11.243402,valid,True,7.0,7.633055555555556,2.6216666666666666,10.254722222222222
2_39_138_29_2019-01-08 16:29:03.335236,valid,True,6.0,6.58,2.1213888888888888,8.70138888888889
2_39_95_27_2019-01-08 16:37:36.739428,valid,True,7.0,7.350555555555555,1.6075,8.958055555555555
2_39_90_440_2019-01-08 16:46:13.426822,valid,True,4.0,4.258333333333334,0.5722222222222222,4.830555555555556
2_39_78_366_2019-01-08 16:47:37.212796,valid,False,,0.03138888888888889,8.076944444444445,8.108333333333333
2_39_79_381_2019-01-08 16:51:46.297174,valid,True,0.0,0.0038888888888888888,5.268611111111111,5.2725
2_39_92_442_2019-01-08 16:54:18.559070,valid,True,1.0,0.43805555555555553,8.745833333333334,9.18388888888889
2_39_78_363_2019-01-08 16:57:46.658847,valid,True,0.0,0.0030555555555555557,8.4,8.403055555555556
2_39_89_25_2019-01-08 17:01:38.860388,valid,True,5.0,5.476666666666667,1.638611111111111,7.115277777777778
2_39_128_562_2019-01-08 17:18:57.453853,valid,True,6.0,6.738888888888889,2.2044444444444444,8.943333333333333
2_39_91_441_2019-01-08 17:38:59.954666,valid,False,,0.0011111111111111111,3.3452777777777776,3.346388888888889
2_39_79_380_2019-01-08 17:43:14.726206,valid,True,4.0,4.714166666666666,4.0088888888888885,8.723055555555556
2_39_79_383_2019-01-08 17:49:37.783470,valid,True,0.0,0.09638888888888889,9.171666666666667,9.268055555555556
2_39_95_444_2019-01-08 17:49:47.828927,valid,True,7.0,7.083611111111111,1.0955555555555556,8.179166666666667
2_39_90_26_2019-01-08 17:50:25.630471,valid,True,8.0,8.516666666666667,1.063611111111111,9.580277777777777
2_39_88_24_2019-01-08 18:22:54.132051,valid,True,6.0,5.786388888888889,2.91,8.696388888888889
2_39_79_378_2019-01-08 18:27:57.428624,valid,True,2.0,2.3569444444444443,5.2575,7.614444444444445
2_39_79_376_2019-01-08 18:41:34.263452,valid,True,2.0,2.9208333333333334,5.183888888888889,8.104722222222222
2_39_123_557_2019-01-08 18:52:15.224822,valid,True,4.0,4.845,2.261388888888889,7.106388888888889
2_39_125_21_2019-01-08 19:16:20.222919,valid,True,2.0,2.826388888888889,4.87,7.6963888888888885
2_39_89_439_2019-01-08 19:34:06.771116,valid,True,7.0,6.635833333333333,1.905,8.540833333333333
2_39_124_22_2019-01-08 19:35:17.003346,valid,True,9.0,9.738055555555556,1.1227777777777779,10.860833333333334
2_39_78_360_2019-01-08 20:48:50.062000,valid,True,4.0,3.908888888888889,0.8047222222222222,4.713611111111111
2_39_78_364_2019-01-08 20:55:42.183003,valid,True,4.0,4.071944444444444,2.0927777777777776,6.164722222222222
2_39_129_17_2019-01-08 20:58:29.050774,valid,True,0.0,0.6919444444444445,1.0408333333333333,1.7327777777777778
2_39_78_361_2019-01-08 21:57:34.975240,valid,True,3.0,3.25,2.1622222222222223,5.412222222222222
2_39_123_23_2019-01-09 00:10:52.018002,valid,False,,0.10972222222222222,1.531111111111111,1.6408333333333334
2_39_89_25_2019-01-09 00:42:15.864936,valid,True,0.0,0.001388888888888889,1.5716666666666668,1.5730555555555557
2_39_129_17_2019-01-09 00:55:52.629947,valid,True,9.0,8.964444444444444,4.557222222222222,13.521666666666667
2_39_139_28_2019-01-09 02:04:24.128525,valid,True,8.0,9.0975,4.687222222222222,13.784722222222221
2_39_138_29_2019-01-09 03:22:05.684823,valid,False,,0.05305555555555556,1.1447222222222222,1.1977777777777778
2_39_127_19_2019-01-09 03:31:59.205103,valid,True,0.0,0.0025,2.867777777777778,2.870277777777778
2_39_131_30_2019-01-09 04:16:15.132333,valid,False,,0.20027777777777778,1.3847222222222222,1.585
2_39_89_25_2019-01-09 14:39:31.783456,valid,True,0.0,0.0025,0.9541666666666667,0.9566666666666667
2_39_78_365_2019-01-09 15:12:31.718977,valid,True,8.0,8.688611111111111,2.446388888888889,11.135
2_39_79_380_2019-01-09 15:52:04.746105,valid,True,1.0,0.9402777777777778,8.466944444444444,9.407222222222222
2_39_91_437_2019-01-09 16:18:57.158566,valid,True,1.0,2.2047222222222222,1.1580555555555556,3.3627777777777776
2_39_79_379_2019-01-09 16:27:08.729077,done_after_disconnect,False,,,,
2_39_138_29_2019-01-09 16:32:51.838995,valid,True,6.0,6.433611111111111,1.0647222222222221,7.498333333333333
2_39_131_30_2019-01-09 16:33:09.851381,valid,True,3.0,4.1475,2.1205555555555557,6.268055555555556
2_39_95_27_2019-01-09 16:33:11.068553,valid,True,7.0,7.69,2.4244444444444446,10.114444444444445
2_39_89_439_2019-01-09 16:35:46.208580,valid,True,3.0,3.5441666666666665,0.5061111111111111,4.050277777777778
2_39_130_31_2019-01-09 16:36:07.859981,valid,True,6.0,6.504444444444444,2.4033333333333333,8.907777777777778
2_39_129_17_2019-01-09 16:43:34.769948,valid,True,8.0,8.26,1.5508333333333333,9.810833333333333
2_39_79_378_2019-01-09 17:05:11.362597,valid,True,2.0,2.5494444444444446,5.649444444444445,8.198888888888888
2_39_89_25_2019-01-09 17:05:58.905229,valid,True,5.0,6.583055555555555,2.055833333333333,8.63888888888889
2_39_79_376_2019-01-09 17:06:39.094927,valid,False,,0.0008333333333333334,12.245,12.245833333333334
2_39_79_383_2019-01-09 17:10:09.438930,valid,True,3.0,4.1925,4.4319444444444445,8.624444444444444
2_39_124_558_2019-01-09 17:11:50.681611,valid,False,,0.1386111111111111,7.115555555555556,7.254166666666666
2_39_127_19_2019-01-09 17:12:38.788772,valid,True,8.0,8.533333333333333,0.8261111111111111,9.359444444444444
2_39_123_23_2019-01-09 17:18:07.853093,valid,True,6.0,6.5525,1.5622222222222222,8.114722222222222
2_39_95_444_2019-01-09 17:55:19.391608,valid,True,0.0,0.0038888888888888888,0.6597222222222222,0.6636111111111112
2_39_92_442_2019-01-09 17:57:01.522007,valid,True,6.0,5.942222222222222,0.5141666666666667,6.456388888888889
2_39_124_22_2019-01-09 18:17:26.680043,valid,False,,0.001388888888888889,1.5958333333333334,1.5972222222222223
2_39_78_360_2019-01-09 18:51:25.887703,valid,True,0.0,0.010833333333333334,3.8980555555555556,3.908888888888889
2_39_78_361_2019-01-09 18:54:54.965239,valid,False,,0.0005555555555555556,7.065277777777778,7.065833333333333
2_39_78_366_2019-01-09 19:32:52.076392,valid,False,,0.0016666666666666668,3.3280555555555558,3.3297222222222222
2_39_91_437_2019-01-09 20:07:42.665465,valid,True,7.0,7.141666666666667,0.9455555555555556,8.087222222222222
2_39_79_381_2019-01-09 20:42:11.809455,valid,True,2.0,2.437777777777778,2.835,5.272777777777778
2_39_78_367_2019-01-09 20:48:04.044348,valid,True,0.0,0.0002777777777777778,8.459444444444445,8.459722222222222
2_39_78_364_2019-01-09 21:28:43.980504,valid,True,3.0,3.131666666666667,2.67,5.801666666666667
2_39_90_440_2019-01-09 21:42:44.921045,valid,True,9.0,9.844444444444445,1.1258333333333332,10.970277777777778
2_39_78_362_2019-01-09 21:48:10.584139,done_after_disconnect,True,0.0,,,
