session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_79_380_2019-01-04 16:35:02.002770,True,0.13540591818393635,1.13,0.6327777777777778,0.0,300.66406387414725,300.66406387414725
2_39_127_19_2019-01-04 16:36:48.444659,True,3.3636526410026857,15.655,3.4691666666666667,0.0,4046.012768425909,4046.012768425909
2_39_88_438_2019-01-04 16:37:03.676575,True,1.6714285714285715,0.845,3.9430555555555555,1.3822222222222251,218.91171303770747,215.23882882030318
2_39_95_27_2019-01-04 16:47:03.244127,True,6.051695991293307,18.535,0.0044444444444444444,0.004444444444445139,4750.621798754101,4750.548444390781
2_39_131_30_2019-01-04 17:06:48.135023,True,2.983298647242456,6.371,6.0841666666666665,0.0,1628.9275475902434,1628.9275475902434
2_39_90_26_2019-01-04 17:35:00.117359,True,0.1812448132780083,1.456,0.3322222222222222,0.0,390.4016241728797,390.4016241728797
2_39_79_377_2019-01-04 17:35:43.612240,True,2.7631332436069984,14.257,1.8566666666666667,0.0,3739.982311113313,3739.982311113313
2_39_125_21_2019-01-04 17:40:42.635292,True,2.9291522131261276,5.864,5.691111111111111,0.0,1500.1833364880704,1500.1833364880704
2_39_89_25_2019-01-04 17:45:35.513948,True,2.8447632711621234,4.957,5.783333333333333,0.0,1267.3246171272067,1267.3246171272067
2_39_79_382_2019-01-04 17:54:08.537764,True,0.16195727084769126,1.175,0.5913888888888889,0.0,314.9353865429612,314.9353865429612
2_39_79_378_2019-01-04 17:57:36.702580,True,3.335602209944751,12.578,0.0011111111111111111,0.0,3269.8616025569536,3269.8616025569536
2_39_91_437_2019-01-04 18:02:36.648940,True,3.5767384615384614,3.229,6.989444444444445,0.0,822.4925186517588,822.4925186517588
2_39_79_376_2019-01-04 18:14:31.721163,True,3.4102032115958507,13.332,5.0825,0.0,3485.580933872297,3485.580933872297
2_39_79_383_2019-01-04 18:46:15.864324,True,3.6858490566037734,7.814,4.329444444444444,0.0,2025.106201270911,2025.106201270911
2_39_78_365_2019-01-04 18:46:17.526364,True,3.35079283887468,5.459,7.376666666666667,0.0,1409.3337378022181,1409.3337378022181
2_39_78_367_2019-01-04 19:15:41.822385,True,0.88646420824295,6.811,0.11194444444444444,0.0,1850.2625311726813,1850.2625311726813
2_39_124_22_2019-01-04 19:40:44.190316,True,6.754572138180176,8.31,0.001388888888888889,0.0,2169.817823126388,2169.817823126388
2_39_139_28_2019-01-04 21:01:36.812785,True,1.2164254986312084,0.864,0.07138888888888889,0.07138888888889028,231.25092065736166,231.25092065735726
2_39_78_363_2019-01-04 21:16:49.838192,True,2.326039296794209,6.248,1.1197222222222223,0.0,1714.7950623646464,1714.7950623646464
2_39_78_364_2019-01-04 21:33:42.635831,True,6.610887785824722,22.567,0.003611111111111111,0.0,6241.4508619216585,6241.4508619216585
2_39_95_27_2019-01-04 21:39:50.663929,True,3.2402420981842637,6.692,2.5180555555555557,0.0,1841.7362670742718,1841.7362670742718
2_39_130_31_2019-01-04 22:01:38.589683,True,2.8484293193717276,6.045,0.01972222222222222,0.0,1675.6502589300803,1675.6502589300803
2_39_89_25_2019-01-05 06:38:52.714347,True,6.210074189769621,39.76,7.467777777777778,0.0,7838.66074680568,7838.66074680568
2_39_139_28_2019-01-05 08:05:17.464457,True,4.913492407809111,3.146,0.03194444444444444,0.0,597.8439158031263,597.8439158031263
2_39_139_28_2019-01-05 15:51:36.017459,True,4.551295336787565,7.808,0.0008333333333333334,0.0,2122.6697105316302,2122.6697105316302
2_39_79_379_2019-01-05 16:00:44.984489,True,0.7138387671338962,5.121,0.001388888888888889,0.0013888888888970996,1407.21120963234,1407.19809774214
2_39_125_21_2019-01-05 17:26:48.040576,True,0.8814836279339322,0.845,0.8747222222222222,0.5533333333333275,233.6755457623717,233.44870758349015
2_39_91_437_2019-01-05 18:13:42.492305,True,2.7449466734382932,4.504,0.30333333333333334,0.0,1249.5357972827728,1249.5357972827728
2_39_138_29_2019-01-05 18:20:28.266831,True,2.4905082385704342,2.981,0.6661111111111111,0.0,826.4906587866691,826.4906587866691
2_39_131_30_2019-01-05 18:36:03.526833,True,2.9276955602536994,2.308,0.0019444444444444444,0.0,640.1238391375776,640.1238391375776
2_39_139_28_2019-01-05 18:54:42.549920,True,4.450805171240644,5.451,0.35583333333333333,0.0,1518.2168090495243,1518.2168090495243
2_39_83_386_2019-01-05 19:25:44.927488,True,3.12741965795903,9.245,0.0011111111111111111,0.0011111111111148375,2566.8453538303543,2566.795510655977
2_39_131_30_2019-01-05 19:37:49.307057,True,3.371329548849716,15.672,0.05694444444444444,0.05694444444444002,4238.553953901417,4234.8710444186445
2_39_139_28_2019-01-05 20:35:47.242130,True,6.045714285714285,5.29,0.7741666666666667,0.7741666666666589,1481.150079421876,1456.0869920540438
2_39_138_29_2019-01-05 20:43:25.597843,True,3.01459940652819,4.233,0.0011111111111111111,0.0011111111111006267,1178.270484408439,1178.21576578599
2_39_129_17_2019-01-06 00:48:56.829773,True,2.3824234354194407,2.485,0.9655555555555555,0.9655555555555537,654.2165226423567,653.4535409303221
2_39_139_28_2019-01-06 01:17:44.814975,True,5.366824644549763,2.831,0.0011111111111111111,0.0,747.7315089947056,747.7315089947056
2_39_79_378_2019-01-06 02:21:12.017672,True,3.2860122906917746,16.19,10.8725,4.646666666666661,3639.6693226564607,2933.3553047431287
2_39_139_28_2019-01-06 02:26:38.381315,True,3.376615090126017,5.88,0.001388888888888889,0.0013888888888828888,1485.7000880509345,1485.578019083627
2_39_79_379_2019-01-06 16:58:35.361454,True,1.0992424242424241,2.902,0.36833333333333335,0.3683333333333394,567.046449224277,563.2970448684387
2_39_139_28_2019-01-06 17:56:46.089550,True,5.958421404682275,12.372,0.023055555555555555,0.02305555555554406,2381.001312156497,2380.3036500037592
2_39_89_25_2019-01-06 18:11:42.318549,True,3.2420338983050843,3.985,0.001388888888888889,0.0013888888888970996,768.0739884962954,768.0590975529208
